order_id,warehouse,shipping_mode,distance_km,weight_kg,promised_days,actual_days,cost_inr,delayed,customer_rating
QC100103,Pune,Road,654.5,3.43,2.3,1.61,5007.71,0,4.3
QC100104,Mumbai,Road,199.4,2.34,1.4,1.52,1605.42,1,2.3
QC100105,Hyderabad,Road,482.4,3.49,2.0,1.79,3744.25,0,4.3
QC100106,Delhi-NCR,Road,237.4,7.98,1.3,1.28,2000.18,0,4.7
QC100107,Bangalore,Road,245.5,4.73,1.0,0.96,1930.16,0,3.9
QC100108,Delhi-NCR,Road,1327.8,3.4,3.5,3.82,10178.95,1,4.0
QC100109,Delhi-NCR,Air,627.8,4.68,2.0,1.59,12469.89,0,3.9
QC100110,Mumbai,Road,1106.0,4.88,3.3,3.3,8572.5,1,3.1
QC100111,Delhi-NCR,Road,898.3,1.57,2.7,3.23,6859.43,1,3.0
QC100112,Hyderabad,Road,949.6,3.08,3.1,2.89,7307.69,0,3.5
QC100113,Delhi-NCR,Rail,191.3,13.98,1.4,1.67,1253.55,1,2.8
QC100114,Mumbai,Air,334.0,6.22,1.8,0.3,6751.57,0,4.0
QC100115,Hyderabad,Road,1103.2,2.22,3.1,3.4,8375.32,1,3.2
QC100116,Pune,Road,1359.3,2.09,3.8,3.53,10451.09,0,2.9
QC100117,Delhi-NCR,RAIL,373.6,2.05,1.5,1.01,2158.22,0,4.8
QC100118,Mumbai,Road,386.0,,1.7,0.75,3117.96,0,4.8
QC100119,Pune,Road,666.3,7.88,2.1,1.8,5202.04,0,5.0
QC100120,Pune,Road,1377.5,4.26,4.0,3.79,10644.23,0,3.7
QC100121,Bangalore,Road,382.4,3.3,1.5,1.04,3002.79,0,4.3
QC100122,Hyderabad,Rail,574.5,2.3,1.8,2.06,3231.86,1,3.8
QC100123,Delhi-NCR,Air,1248.9,3.66,3.8,2.06,24643.49,0,4.9
QC100124,Mumbai,Road,12.1,1.84,0.9,0.38,192.46,0,5.0
QC100125,Bangalore,ROAD,63.4,0.94,0.8,1.2,485.88,1,3.4
QC100126,Hyderabad,Rail,848.9,8.02,2.6,3.5,4683.83,1,3.3
QC100127,Bangalore,Rail,1271.1,1.64,3.5,3.61,6847.15,1,2.5
QC100128,Hyderabad,Road,340.5,2.47,1.5,1.72,2571.29,1,3.8
QC100129,Hyderabad,Rail,661.7,4.45,2.4,2.78,3616.43,1,3.1
QC100130,Delhi-NCR,Rail,635.0,7.1,2.3,2.47,3492.02,1,3.3
QC100131,Hyderabad,Air,666.4,3.51,2.3,1.38,13268.71,0,4.4
QC100132,Bangalore,Road,874.5,1.47,2.7,2.69,6751.78,0,3.2
QC100133,Hyderabad,Road,661.9,,2.4,1.77,5093.32,0,4.0
QC100134,Delhi-NCR,Air,630.9,,1.9,1.1,12617.8,0,4.6
QC100135,Delhi-NCR,Road,668.2,2.94,2.1,2.32,5131.74,1,3.3
QC100136,Bangalore,Air,830.5,6.29,2.5,1.39,16538.59,0,4.6
QC100137,Pune,Road,755.5,0.66,2.6,2.08,5763.08,0,4.8
QC100138,Pune,Road,1197.0,,3.3,2.99,9235.27,0,4.0
QC100139,Hyderabad,Road,76.9,2.25,0.8,0.88,670.76,1,3.0
QC100140,Mumbai,Road,1168.0,1.41,3.4,3.49,8990.3,1,3.2
QC100141,Hyderabad,Rail,1182.7,4.27,3.2,3.46,6455.99,1,3.7
QC100142,Bangalore,Air,404.6,1.29,1.6,0.3,7953.86,0,4.3
QC100143,Bangalore,Air,652.3,1.38,2.6,0.67,12921.21,0,
QC100144,Bangalore,Air,618.4,5.01,2.3,0.71,12423.19,0,
QC100145,Bangalore,Road,312.2,,1.4,0.46,2582.14,0,4.8
QC100146,Bangalore,Road,560.3,2.87,2.0,2.26,4355.6,1,4.0
QC100147,Delhi-NCR,Road,69.8,1.45,1.1,0.78,537.0,0,4.5
QC100148,Pune,Road,394.7,1.97,1.8,1.36,3054.1,0,3.7
QC100149,Bangalore,Road,1144.8,5.5,3.3,3.47,8833.92,1,3.1
QC100150,Mumbai,Road,404.1,3.22,1.7,1.71,3220.91,1,3.5
QC100151,Mumbai,Road,1146.9,2.83,3.1,2.76,8774.39,0,4.8
QC100152,Mumbai,Rail,748.0,3.62,2.2,2.58,4159.78,1,3.6
QC100153,Mumbai,Rail,1232.8,2.94,3.5,3.68,6678.29,1,3.2
QC100154,Delhi-NCR,Road,808.1,7.59,2.5,3.18,6397.84,1,3.7
QC100155,Mumbai,Air,49.3,1.92,1.0,0.3,1036.31,0,4.1
QC100156,Bangalore,Air,948.2,1.79,2.9,0.59,18761.62,0,4.5
QC100157,Hyderabad,Road,70.4,1.31,0.8,0.3,543.58,0,4.8
QC100158,Mumbai,Rail,635.2,2.17,2.2,2.82,21126.76735730696,1,3.6
QC100159,Delhi-NCR,Rail,1301.8,,3.6,4.14,7027.85,1,3.6
QC100160,Delhi-NCR,Road,238.0,3.42,1.6,1.5,1883.59,0,4.7
QC100161,Mumbai,Road,550.7,3.04,2.1,1.76,4236.8,0,3.9
QC100162,Hyderabad,Road,1024.0,1.57,2.8,2.82,7967.41,1,3.3
QC100163,Mumbai,Road,1236.1,4.28,3.8,3.06,9649.07,0,3.9
QC100164,Delhi-NCR,Road,942.0,,2.8,3.56,7428.37,1,3.2
QC100165,Pune,Rail,367.4,3.72,1.5,1.08,2043.46,0,3.8
QC100166,Bangalore,Road,947.1,0.65,3.2,2.27,7232.85,0,4.6
QC100167,Delhi-NCR,Road,421.0,9.9,1.8,2.04,3352.1,1,2.3
QC100168,Mumbai,Rail,1008.1,4.7,3.1,2.64,5620.48,0,4.7
QC100169,Bangalore,Air,1336.0,9.72,3.8,2.06,26683.6,0,4.4
QC100170,Mumbai,Road,1012.2,5.78,3.0,3.05,7906.1,1,4.3
QC100171,Mumbai,Road,1209.1,6.52,3.4,3.21,9351.98,0,4.3
QC100172,Pune,Road,10.9,3.4,0.8,0.43,40.0,0,4.3
QC100173,Bangalore,Air,1006.9,2.57,3.2,0.65,19891.2,0,4.7
QC100174,Bangalore,Road,1162.8,3.76,3.4,3.14,8966.56,0,4.3
QC100175,Pune,Road,64.5,1.96,1.1,1.84,497.34,1,3.4
QC100176,Delhi-NCR,Rail,1221.3,3.9,3.5,4.28,6626.96,1,3.8
QC100177,Mumbai,Road,365.3,0.62,1.5,0.61,2826.41,0,4.3
QC100178,Hyderabad,Rail,934.1,3.08,2.6,3.45,5160.4,1,3.9
QC100179,Mumbai,Rail,1122.1,,3.3,3.77,6138.41,1,2.5
QC100180,Mumbai,Road,930.4,3.18,3.1,2.15,7096.46,0,5.0
QC100181,Delhi-NCR,Rail,136.5,,1.0,0.9,848.91,0,3.5
QC100182,Mumbai,ROAD,838.1,2.56,2.7,2.03,6394.91,0,5.0
QC100183,Pune,Rail,773.0,5.48,2.3,2.49,4308.41,1,2.4
QC100184,Pune,Road,1261.2,1.77,3.5,3.3,9679.79,0,5.0
QC100185,Bangalore,Air,570.7,5.35,2.1,0.46,11508.99,0,4.5
QC100186,Hyderabad,Road,454.9,3.45,1.5,1.18,3586.17,0,3.9
QC100187,Mumbai,Rail,1051.8,2.63,3.1,3.33,5835.89,1,4.2
QC100188,Mumbai,Air,582.4,0.64,1.9,0.78,11458.81,0,3.9
QC100189,Delhi-NCR,Road,907.4,2.58,2.9,2.67,6792.88,0,4.3
QC100190,Pune,Rail,907.9,3.41,2.8,3.08,4978.62,1,4.6
QC100191,Hyderabad,Road,1244.2,4.94,3.7,2.89,9614.44,0,4.6
QC100192,Bangalore,Road,841.4,7.66,2.6,2.32,6567.22,0,3.4
QC100193,Pune,Road,707.0,10.19,2.1,1.99,5597.72,0,4.3
QC100194,Bangalore,Road,201.3,6.35,1.0,1.04,1586.8,1,3.1
QC100195,Delhi-NCR,Road,169.1,2.14,0.9,1.23,1365.93,1,3.4
QC100196,Delhi-NCR,Rail,222.8,2.5,1.4,1.86,1292.29,1,3.3
QC100197,Mumbai,Road,247.2,4.68,1.7,1.13,1903.34,0,4.7
QC100198,Hyderabad,Air,895.9,4.1,2.8,1.71,17791.4,0,3.6
QC100199,Bangalore,Road,1039.4,7.98,3.3,2.48,8077.54,0,4.1
QC100200,Pune,Rail,745.7,13.3,2.6,2.52,4225.93,0,4.6
QC100201,Delhi-NCR,Rail,1162.0,11.71,3.3,4.02,6415.91,1,2.9
QC100202,Mumbai,Road,1387.8,7.36,4.0,3.79,10749.9,0,4.9
QC100203,Mumbai,Rail,1149.5,,3.2,3.75,6297.11,1,2.9
QC100204,Bangalore,Road,975.3,6.75,2.9,2.54,7545.93,0,4.5
QC100205,Delhi-NCR,Air,749.2,8.14,2.4,0.69,14915.23,0,4.3
QC100206,Hyderabad,Road,632.8,2.75,2.2,2.33,4915.05,1,2.8
QC100207,Delhi-NCR,RAIL,125.5,2.18,1.2,0.79,670.9,0,4.4
QC100208,Bangalore,Road,563.9,1.9,1.9,1.3,4329.48,0,3.7
QC100209,Bangalore,Road,1274.9,1.78,3.7,2.62,9758.86,0,4.2
QC100210,Delhi-NCR,AIR,1132.8,1.31,3.4,1.59,22527.76,0,4.4
QC100211,Bangalore,Road,308.7,3.49,1.5,1.64,2381.09,1,2.6
QC100212,Delhi-NCR,Road,657.5,1.65,2.5,1.86,5163.11,0,4.7
QC100213,Pune,Road,1144.9,1.88,3.5,3.79,8837.46,1,3.4
QC100214,Delhi-NCR,Road,101.8,4.58,1.2,1.27,970.46,1,3.6
QC100215,Delhi-NCR,Road,547.3,3.35,2.0,1.39,4287.02,0,4.4
QC100216,Bangalore,Road,1193.8,3.89,3.5,2.76,9189.33,0,3.8
QC100217,Bangalore,Road,570.2,6.81,2.1,1.26,4429.57,0,4.4
QC100218,Mumbai,Road,116.0,5.05,1.1,1.08,956.98,0,4.7
QC100219,Mumbai,Air,763.2,7.47,2.4,0.64,15335.06,0,3.8
QC100220,Pune,Road,1207.5,3.15,3.1,2.61,9291.2,0,3.8
QC100221,Mumbai,Road,829.7,7.9,2.7,2.18,6529.06,0,4.3
QC100222,Delhi-NCR,Road,323.0,3.73,1.7,1.91,2550.51,1,3.1
QC100223,Bangalore,Road,542.9,3.32,1.8,1.55,4227.92,0,4.4
QC100224,Mumbai,Air,634.6,7.22,2.3,1.07,12712.33,0,4.3
QC100225,Mumbai,Road,814.3,1.78,2.5,2.45,6291.16,0,4.5
QC100226,Pune,Road,1065.0,,3.1,2.34,8280.56,0,5.0
QC100227,Pune,Air,145.6,2.54,1.3,0.3,2912.11,0,
QC100228,Delhi-NCR,Air,1246.4,1.45,3.4,1.75,24723.38,0,4.4
QC100229,Bangalore,Road,25.1,4.45,0.7,0.37,281.92,0,3.8
QC100230,Pune,Air,523.1,2.4,2.2,1.52,10372.91,0,4.0
QC100231,Mumbai,Rail,46.2,10.13,0.9,0.3,456.82,0,4.8
QC100232,Bangalore,Road,555.0,2.32,2.2,1.28,4241.24,0,4.2
QC100233,Bangalore,Air,739.9,3.63,2.2,1.08,14641.98,0,3.9
QC100234,Mumbai,Air,720.3,1.28,2.1,0.74,14302.68,0,5.0
QC100235,Pune,Road,238.6,4.89,1.2,0.3,1841.4,0,
QC100236,Mumbai,Road,906.9,1.88,2.7,3.25,6988.43,1,3.2
QC100237,Bangalore,Road,70.3,4.55,0.7,0.3,502.41,0,3.9
QC100238,Hyderabad,RAIL,1068.6,2.32,3.2,3.85,5768.7,1,3.7
QC100239,Hyderabad,Rail,1325.7,0.88,3.8,3.82,7154.97,1,3.1
QC100240,Delhi-NCR,Air,481.0,3.25,1.7,0.52,9485.9,0,4.8
QC100241,Mumbai,Road,728.0,3.16,2.3,1.45,5603.72,0,4.2
QC100242,Mumbai,Air,535.4,5.1,1.9,0.51,10763.82,0,5.0
QC100243,Delhi-NCR,Road,17.3,7.64,0.7,0.45,193.65,0,4.1
QC100244,Delhi-NCR,Road,545.1,9.46,1.6,1.92,4319.57,1,4.5
QC100245,Delhi-NCR,Road,1110.1,5.05,3.2,3.18,8685.32,0,4.5
QC100246,Bangalore,Air,837.6,3.55,2.6,0.48,16584.67,0,5.0
QC100247,Mumbai,Road,149.0,1.28,1.1,0.68,1246.72,0,4.1
QC100248,Bangalore,Air,1187.2,3.39,3.2,1.97,23550.84,0,3.7
QC100249,Delhi-NCR,Road,747.3,3.42,2.6,2.99,5784.52,1,2.1
QC100250,Mumbai,Road,1179.7,2.67,3.7,3.22,9150.25,0,5.0
QC100251,Bangalore,ROAD,815.7,4.39,2.5,2.43,6290.02,0,4.4
QC100252,Bangalore,Road,787.1,5.89,2.7,2.93,6165.2,1,2.7
QC100253,Delhi-NCR,Rail,154.5,1.84,1.2,1.44,920.5,1,4.0
QC100254,Mumbai,Road,241.0,1.82,1.3,1.34,1837.36,1,3.9
QC100255,Delhi-NCR,Rail,1361.1,2.76,3.7,3.99,7353.93,1,4.0
QC100256,Mumbai,Road,326.1,,1.5,0.81,2518.39,0,3.7
QC100257,Hyderabad,Air,1368.6,1.12,4.0,1.79,27106.6,0,5.0
QC100258,Pune,Road,748.4,1.65,2.3,1.92,5690.22,0,4.6
QC100259,Pune,Air,197.0,1.43,1.2,0.3,3887.84,0,5.0
QC100260,Pune,Air,146.2,6.2,1.3,0.3,2798.35,0,4.7
QC100261,Delhi-NCR,Road,298.7,8.35,1.6,0.81,2415.3,0,4.5
QC100262,Hyderabad,Road,1296.5,1.56,3.5,3.3,9999.97,0,5.0
QC100263,Mumbai,Rail,584.5,4.17,2.0,2.25,3131.36,1,3.7
QC100264,Bangalore,Rail,558.4,5.07,2.1,2.66,3078.83,1,3.8
QC100265,Mumbai,Road,444.0,1.23,1.9,1.82,3565.28,0,4.2
QC100266,Bangalore,Air,212.7,3.31,1.4,0.72,4269.69,0,4.3
QC100267,Mumbai,Rail,687.1,13.74,2.4,1.71,4039.07,0,3.5
QC100268,Hyderabad,Rail,189.0,4.51,1.3,1.3,1041.07,1,3.0
QC100269,Bangalore,Rail,1171.0,2.59,3.4,3.35,6396.95,0,4.8
QC100270,Delhi-NCR,Air,523.6,2.15,2.2,1.03,10335.05,0,4.7
QC100271,Mumbai,Road,529.7,0.89,1.9,1.54,4092.29,0,3.9
QC100272,Mumbai,Road,667.8,3.98,2.3,2.64,5230.84,1,3.9
QC100273,Bangalore,Road,626.2,9.67,2.0,1.81,5000.79,0,5.0
QC100274,Delhi-NCR,Air,1392.8,1.84,3.7,1.98,27589.86,0,3.9
QC100275,Delhi-NCR,Air,767.2,0.94,2.5,0.41,15223.98,0,4.3
QC100276,Hyderabad,Road,130.8,,1.0,0.89,1054.05,0,4.1
QC100277,Delhi-NCR,Rail,852.8,5.1,2.7,3.64,4736.88,1,3.3
QC100278,Delhi-NCR,Air,219.0,2.32,1.5,0.79,4370.53,0,4.5
QC100279,Delhi-NCR,Road,51.1,1.84,1.1,0.3,479.9,0,4.1
QC100280,Pune,Road,1359.3,3.04,4.1,3.41,10539.44,0,4.3
QC100281,Hyderabad,Road,1084.8,3.45,3.4,3.82,8341.75,1,3.3
QC100282,Mumbai,Road,1372.3,1.31,4.2,3.38,10524.46,0,4.6
QC100283,Bangalore,Road,673.2,2.64,2.3,2.01,5143.21,0,5.0
QC100284,Mumbai,Road,748.9,2.23,2.3,2.79,5789.64,1,3.3
QC100285,Hyderabad,Road,242.3,2.05,1.2,1.13,1911.29,0,4.1
QC100286,Bangalore,Road,351.7,1.63,1.8,1.56,2723.32,0,4.7
QC100287,Hyderabad,Road,1175.3,5.28,3.4,3.5,9094.09,1,3.5
QC100288,Delhi-NCR,Road,503.8,2.04,1.9,2.12,4006.1,1,3.2
QC100289,Bangalore,Air,1158.9,0.91,3.2,1.51,22789.4,0,4.6
QC100290,Delhi-NCR,Road,994.9,3.52,2.9,2.83,7644.55,0,4.2
QC100291,Mumbai,Rail,254.6,4.64,1.4,1.12,1437.74,0,4.1
QC100292,Mumbai,Rail,714.4,1.86,2.2,2.09,3978.65,0,3.5
QC100293,Bangalore,Road,950.9,2.15,2.9,1.78,7341.6,0,4.2
QC100294,Bangalore,Road,335.2,2.04,1.8,1.71,2630.98,0,3.5
QC100295,Hyderabad,Road,1164.3,2.44,3.0,3.31,9026.41,1,3.0
QC100296,Hyderabad,Road,766.4,5.84,2.2,2.87,5957.28,1,3.6
QC100297,Delhi-NCR,Road,238.0,2.81,1.4,1.86,1910.42,1,2.5
QC100298,Bangalore,Road,819.5,4.97,2.8,2.2,6326.79,0,4.3
QC100299,Mumbai,Road,1399.6,1.68,3.8,2.98,10673.98,0,4.4
QC100300,Hyderabad,Road,217.5,2.39,1.0,1.05,1814.55,1,3.2
QC100301,Hyderabad,Road,1144.9,5.32,3.5,3.0,8876.39,0,4.2
QC100302,Mumbai,Air,296.6,1.85,1.3,0.3,5944.66,0,4.6
QC100303,Hyderabad,Road,1097.1,5.51,3.1,2.96,8427.18,0,4.6
QC100304,Delhi-NCR,Road,1030.5,2.06,3.1,3.11,7951.03,1,3.3
QC100305,Bangalore,Road,426.3,2.48,1.6,1.14,3412.53,0,4.2
QC100306,Mumbai,Rail,461.5,8.18,1.7,1.5,2622.69,0,4.8
QC100307,Bangalore,Road,1111.2,2.31,3.1,2.24,8466.91,0,3.7
QC100308,Hyderabad,Road,650.3,3.28,2.5,2.21,5044.87,0,4.7
QC100309,Hyderabad,Air,1025.3,4.35,3.2,2.18,20317.09,0,4.6
QC100310,Mumbai,Road,214.0,3.44,1.4,1.53,1605.55,1,3.4
QC100311,Delhi-NCR,Rail,1194.8,3.5,3.1,4.41,6470.83,1,3.3
QC100312,Pune,Air,997.6,2.9,3.1,1.61,19775.12,0,3.5
QC100313,Mumbai,Air,1270.5,1.38,3.7,1.49,141057.7426706685,0,5.0
QC100314,Pune,Air,192.3,3.7,1.0,0.3,3953.73,0,4.8
QC100315,Pune,Rail,833.5,1.94,2.7,2.71,4649.2,1,2.8
QC100316,Delhi-NCR,RAIL,842.0,4.78,2.8,2.77,4669.93,0,4.8
QC100317,Pune,Air,500.0,6.84,2.0,0.88,10046.17,0,4.5
QC100318,Pune,Air,646.2,1.02,2.1,1.46,12804.6,0,4.1
QC100319,Delhi-NCR,Road,60.9,6.85,0.9,1.6,535.41,1,3.9
QC100320,Pune,Road,1046.2,2.35,3.2,2.93,8141.9,0,4.2
QC100321,Pune,Road,772.7,2.78,2.5,1.63,5957.42,0,5.0
QC100322,Pune,ROAD,88.4,1.74,1.2,0.82,679.82,0,
QC100323,Mumbai,Road,955.6,3.36,2.9,2.61,7431.71,0,4.9
QC100324,Mumbai,Road,657.8,3.13,2.3,2.22,31118.357668263878,0,4.7
QC100325,Mumbai,Road,56.0,5.73,1.0,0.68,590.18,0,
QC100326,Delhi-NCR,Air,1357.7,1.93,3.6,1.9,26892.62,0,4.5
QC100327,Hyderabad,Rail,1329.2,8.14,3.7,4.08,7385.26,1,2.9
QC100328,Pune,Road,722.0,4.48,2.3,2.06,5662.73,0,4.4
QC100329,Pune,Road,138.4,3.17,1.3,1.11,1195.31,0,4.9
QC100330,Delhi-NCR,Rail,1058.4,2.7,3.2,2.96,5721.39,0,4.8
QC100331,Pune,ROAD,692.8,2.5,2.3,2.0,5339.94,0,4.7
QC100332,Mumbai,AIR,429.0,2.6,1.5,0.98,8657.87,0,3.4
